,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,White,Black or African American,Asian,Hispanic or Latino (of any race)
BX39,52132,25356,26776,4645,4210,3835,4930,4731,7543,7224,6359,2103,1854,2741,1596,16636,18550,572,37563
BX98,9741,8821,920,0,0,0,1475,2051,2668,1887,1281,227,96,44,12,1421,5706,202,3304
BX01,30715,13919,16796,2605,2769,2396,3303,3091,4214,3842,4279,1317,781,1339,575,2663,14602,42,17094
BX06,25783,12173,13610,2145,2206,1675,3139,4027,3284,3332,2407,847,750,1138,674,7599,5558,642,15391
BX17,41871,18907,22964,3541,3477,3500,4179,3995,5572,5275,5255,2138,1570,1969,1035,6583,14010,356,29037
BX35,37872,17261,20611,3045,2940,3201,3738,3243,5556,5060,4711,2118,1289,1759,880,4171,15729,230,23023
BX75,20352,9505,10847,2170,1727,1850,2030,1452,2828,2459,2536,932,638,1078,521,2464,5619,129,14588
BX14,63504,30751,32753,4862,4631,4689,5319,5274,9679,8452,8361,3404,2396,3898,1857,8385,27358,644,36303
BX26,37065,17461,19604,2983,3589,2917,3331,2782,5724,5096,4771,1724,1527,1613,835,5464,14834,158,23380
BX63,39680,18695,20985,3568,3083,3640,3082,2901,6143,6091,5098,2084,1603,1546,678,6997,11943,946,27766
BX36,53944,25476,28468,4263,3967,4233,4940,5142,8102,6858,7731,3050,2238,2285,804,6643,18872,321,35847
BX40,26336,11876,14460,2852,2409,2212,2604,2230,3929,3656,3196,913,844,870,537,3050,9302,194,18064
BX41,52237,25515,26722,4405,3813,3756,5049,4468,7709,7378,7764,2471,1794,2311,1002,7101,16927,1159,35935
BX05,52591,24990,27601,4280,3995,4273,4087,4111,8646,7584,7444,2393,2031,2496,901,8638,11210,2535,35907
BX30,30599,13741,16858,1816,2227,2038,2143,2709,5129,4491,3818,1510,1482,1542,986,3344,6914,1999,20962
BX43,41217,19023,22194,4087,2774,3221,2725,3578,7427,6080,4681,1679,1363,1943,1093,9133,9530,3570,23125
BX22,26839,12747,14092,1634,1260,1178,2110,2198,2814,3283,3525,1671,1450,2399,1987,19933,2204,1643,4941
BX28,49715,22577,27138,3331,3232,3167,3754,4447,7302,6488,7166,3128,2218,2834,1654,11673,11424,1776,31698
BX29,29848,14091,15757,2101,1287,1534,1368,1506,4163,4433,3624,1937,1992,2524,2053,17626,2565,1964,10811
BX08,35325,17175,18150,3281,2360,2555,2551,3031,6467,4169,4846,1733,1331,1726,980,5145,10975,981,23944
BX09,53800,23977,29823,3278,3542,3752,4732,4439,6928,6845,7326,3613,2571,4177,1885,8785,20748,898,33128
BX46,30376,14394,15982,2274,2045,1784,1569,1749,4837,5103,4361,1931,1334,2057,1016,3536,15025,3776,10749
BX55,35886,17126,18760,3072,2523,2916,2848,3042,5345,4288,4626,1872,1734,2219,817,5343,10734,2661,23070
BX59,27483,12736,14747,2016,1915,2091,2862,1811,4062,4570,3353,1196,1322,1146,800,4536,5255,3992,16952
BX10,26139,12231,13908,1108,1068,1208,1428,1367,3701,3580,4034,1799,1521,2120,2374,18673,680,905,8201
BX13,44304,19239,25065,1769,2185,2491,2729,2751,4241,5378,7427,3285,2714,4805,3223,8010,28450,533,12529
BX52,46104,22319,23785,2308,2893,3059,3213,3505,5895,6263,6220,3294,2387,3681,2363,27274,5330,1091,18254
BX07,33728,16080,17648,2123,2090,1975,2466,2354,5438,4366,4883,2341,1469,2206,1496,8431,11051,1445,16914
BX31,33404,16059,17345,1758,1987,2534,2239,2351,3804,4475,4676,2010,1905,2444,1981,11740,11344,3115,9570
BX37,30098,14583,15515,2359,1966,2181,1996,2258,4868,3902,3972,1729,1435,1824,1018,10876,3115,2682,16390
BX49,30191,14417,15774,2237,1597,1571,1483,1912,5119,4427,4064,1766,1574,2244,1294,14174,3125,4552,11035
BX03,36676,16439,20237,2295,2650,2814,3788,2816,4534,4378,5616,2410,1723,2310,912,2721,26778,372,9050
BX44,61503,27457,34046,4965,4057,4894,4869,4512,8393,8742,8453,3219,2651,3874,2127,4304,45664,1038,13502
BX62,45805,20888,24917,3130,2530,2973,3207,3599,6428,6472,6232,2913,2690,3174,1627,9431,29599,1589,7130
BX99,1377,643,734,136,123,76,101,54,213,220,146,116,83,65,27,293,438,89,789
MN23,67185,31731,35454,2200,1775,1267,3534,4984,18428,10167,7752,3859,4291,5178,2883,56904,1301,5815,3908
MN24,40059,20130,19929,2096,1332,1266,1227,4130,10505,6104,4109,2343,2501,2604,1242,27666,892,9343,2188
MN25,37506,18720,18786,2430,1402,692,1165,3989,11947,6710,4229,1172,1400,1057,832,26482,1208,7133,3623
MN22,43755,21488,22267,892,739,607,3751,5723,12686,6280,5097,2250,1579,2228,1280,31859,2719,6419,5195
MN27,46550,23206,23344,1618,1933,1884,2010,4109,8947,7403,6158,2186,3109,3472,2488,9695,2049,30032,5918
MN28,74243,34965,39278,3205,2898,3369,4325,5506,12315,9964,10600,4423,4761,6691,4375,28874,7840,19324,28817
MN13,69299,34899,34400,2758,1903,1140,1994,5256,17835,13579,9459,4331,3497,4386,2107,50798,3972,8240,10649
MN15,42931,22368,20563,1163,708,590,934,4172,12188,7558,6096,2880,1987,2615,1443,29503,3337,5841,8669
MN17,28228,14044,14184,888,344,335,1326,2809,8006,4441,3209,1826,1647,2153,857,20563,1301,4941,2009
MN19,48393,22234,26159,1935,888,622,539,3815,12166,6909,6121,2955,3316,4708,3197,39094,1093,6894,2903
MN20,49515,22559,26956,1890,1079,848,1361,6779,14739,6709,5443,2231,2415,3464,1693,37479,2178,6845,5024
MN21,26075,11367,14708,661,430,332,988,2682,8091,4351,3157,1208,1102,1766,946,21094,827,2865,1682
MN50,21864,9646,12218,571,679,479,213,3310,4700,2469,2469,1702,1492,1633,1226,16173,1076,3593,1311
MN12,135718,62611,73107,7515,6065,4775,4084,6682,25627,20818,19450,9603,8576,12336,6859,101748,15405,8779,20255
MN14,60205,28883,31322,4608,1876,1461,1815,2452,11904,10631,7381,3803,4117,4702,3734,48136,2530,6573,6563
MN31,81378,36340,45038,4997,2723,1591,1518,4786,21165,13111,9023,4207,4743,7808,4070,66070,3721,8736,5788
MN32,77676,33428,44248,3658,2408,2308,1214,4898,20268,12783,8920,5242,3942,6337,3916,64865,2669,7066,7105
